nds.id,nutrient,N,P,Si,top,cr.area,gpp.area,chla_mgL,chla_ug_cm2,Notes,cr.nrr,chla.nrr,gpp.nrr,site.date,gpp.es,cr.es,chla.es
A1,Si,0,0,1,sponge,NA,NA,NA,NA,,NA,NA,NA,cen_lan_summer,NA,NA,NA
A6,control,0,0,0,sponge,-18.60043512,7.867438345,NA,NA,,0.860573118110574,NA,NA,cen_lan_summer,NA,-0.150156695283749,NA
A7,Si,0,0,1,sponge,-7.840814984,0,NA,NA,,0.362765416818324,NA,NA,cen_lan_summer,NA,-1.01399888827717,NA
A8,NPSi,1,1,1,sponge,NA,NA,NA,NA,,NA,NA,NA,cen_lan_summer,NA,NA,NA
B1,NSi,1,0,1,sponge,NA,NA,NA,NA,,NA,NA,NA,cen_lan_summer,NA,NA,NA
B2,NPSi,1,1,1,sponge,-18.03143311,10.47871838,NA,NA,,0.834247506327956,NA,NA,cen_lan_summer,NA,-0.181225150473544,NA
B7,control,0,0,0,sponge,-24.0828924,11.24247981,NA,NA,,1.11422607439462,NA,NA,cen_lan_summer,NA,0.10816006022864,NA
C1,N,1,0,0,sponge,-12.35969237,2.173358042,NA,NA,,0.571837106665404,NA,NA,cen_lan_summer,NA,-0.558901106716439,NA
C4,control,0,0,0,sponge,-26.9940655,18.59838444,NA,NA,,1.24891525214041,NA,NA,cen_lan_summer,NA,0.22227537627162,NA
C6,NSi,1,0,1,sponge,-11.99481702,0,NA,NA,,0.554955678051212,NA,NA,cen_lan_summer,NA,-0.588867027791817,NA
C8,NPSi,1,1,1,sponge,-18.06264189,7.521228371,NA,NA,,0.835691420781772,NA,NA,cen_lan_summer,NA,-0.17949584793414,NA
D1,NP,1,1,0,sponge,-16.5161108,6.089647234,NA,NA,,0.764139165482905,NA,NA,cen_lan_summer,NA,-0.269005352630165,NA
D3,PSi,0,1,1,sponge,-16.96677552,4.74046962,NA,NA,,0.784989749934869,NA,NA,cen_lan_summer,NA,-0.242084618692788,NA
D4,P,0,1,0,sponge,NA,NA,NA,NA,redeployed,NA,NA,NA,cen_lan_summer,NA,NA,NA
